Sygnatura czasowa,Czy uważasz się za osobę świadomą ekologicznie? ,"Proszę zaznaczyć działania, które praktykujesz na co dzień podczas dokonywania decyzji zakupowych","Czy uważasz, że społeczeństwo wykazuje się coraz większą odpowiedzialnością i świadomością ekologiczną? ","Czy uważasz, że wykazujesz się wyższą świadomością ekologiczną niż 2-3 lata temu? ",W jakim stopniu Twoim zdaniem produkcja i spożywanie produktów odzwierzęcych mogą wpływać negatywnie na środowisko? ,"Czy słyszał_ś  o pojęciu „fleksitarianizmu”, czyli diety tradycyjnej z nastawieniem na ograniczenie ilości mięsa w diecie? ",Jak często spożywasz produkty odzwierzęce? [Mięso],Jak często spożywasz produkty odzwierzęce? [Wędliny],Jak często spożywasz produkty odzwierzęce? [Nabiał],Jak często spożywasz produkty odzwierzęce? [Jajka],"Jakie są powody, dla których spożywasz mięso i nabiał?  (nie odpowiadać, w przypadku, gdy na pytanie 7 we wszystkich kategoriach zaznaczono odpowiedz „nigdy)",Czy starasz się ograniczać mięso i nabiał swojej diecie lub całkowicie je wykluczasz?,Czy planujesz wykluczyć częściowo lub całkowicie mięso i nabiał oraz inne produkty odzwierzęce ze swojej diety? ,Jeśli w poprzednich dwóch pytaniach zaznaczono odpowiedz „Tak…”: proszę o podanie motywów jakimi się kierował_ś podejmując taką decyzję:,O jakich produktach roślinnych  słyszał_ś lub jakich używasz?,Jak często sięgasz po wszelkiego rodzaju produkty roślinne? ,"Jakie cechy powinny posiadać roślinne produkty będące odpowiednikami mięsa, wędlin lub nabiału, żebyś chciał_  ich spróbować lub wprowadzić na stałe do swojej diety?","Czy uważasz, że obecnie dużo łatwiej jest dostać w sklepach produkty wegańskie i roślinne zamienniki mięsa lub nabiału niż jeszcze parę lat temu? ",Czy na przyszłość oczekiwał_byś zwiększenia ilości dostępnych produktów roślinnych i nowoczesnych roślinnych alternatyw mięsa lub nabiału?,"Czy szerzej dostępne roślinne alternatywy nabiału albo mięsa na półkach sklepowych, w których zazwyczaj robisz zakupy zachęcałyby Cię do częstszego kupowania takich produktów? ",Czy szerzej dostępne posiłki roślinne w restauracjach i kawiarniach zachęcałyby Cię do częstszego próbowania i spożywania takich posiłków? ,Jaki jest Twój dotychczasowy stosunek do posiłków roślinnych i zamienników mięsa? ,Płeć,Wiek,Wykształcenie,Sytuacja zawodowa,Miejsce zamieszkania,Rodzaj stosowanej diety
2022-04-05 16:29:41,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam)",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Tak,Raz na 2 tygodnie,Raz na miesiąc,Kilka razy w tygodniu,Kilka razy w tygodniu,Ze względu na dietę innych członków rodziny (wspólne posiłki),Tak,"Tak, chciał_bym w przyszłości spożywać wyłącznie posiłki roślinne","Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Smak mięsa nie smakuje ","Tofu, Tempeh, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Mleko roślinne (np. sojowe, owsiane), Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Kilka razy w tygodniu,"Przystępna cena, Wartość odżywcza, Łatwość przygotowania, Posiadanie certyfikatu potwierdzającego w pełni roślinny skład produktu, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, Łatwo jest przygotowywać dania w pełni roślinne, Dania roślinne są sycące i odżywcze, Są w akceptowalnej cenie, Są zdrowe i odżywcze",Mężczyzna,18-25,Wyższe,uczę się/studiuję,miasto powyżej 100 tys. mieszkańców,Fleksitariańska
2022-04-05 16:30:13,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam)",3,"Nie, nie zauważył_m u siebie zmiany",3,Tak,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są pożywne, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Nie,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety), Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Chęć wypróbowania nowych przepisów","Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Kilka razy w tygodniu,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Korzyści zdrowotne płynące ze spożywania takich produktów, Powszechna dostępność, Łatwość przygotowania, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt, Dostępność informacji odnośnie wykorzystania takich produktów w przepisach kulinarnych","Tak, dużo łatwiej",Tak,Raczej tak,Raczej tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Dania roślinne są sycące i odżywcze, Są za drogie, Są zdrowe i odżywcze",Kobieta,18-25,Średnie,uczę się/studiuję,miasto do 100 tys. mieszkańców,Tradycyjna
2022-04-05 16:31:05,Tak,"Kupuję produkty przyjazne środowisku, nawet jeśli mają wyższą cenę, ponieważ uważam, że są bezpieczniejsze i zdrowsze niż produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",3,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",4,Tak,Kilka razy w tygodniu,Codziennie,Codziennie,Raz w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Tak,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety), Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska)","Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Syrop klonowy/Syrop z agawy jako zamiennik miodu",Kilka razy w tygodniu,"Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Wysoka zawartość wapnia i innych witamin oraz minerałów, Łatwość przygotowania, Posiadanie certyfikatu potwierdzającego w pełni roślinny skład produktu, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Raczej tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Dania roślinne są sycące i odżywcze, Są trudne w przygotowaniu, Są w akceptowalnej cenie",Kobieta,18-25,Średnie,studiuję i pracuję,miasto do 50 tys. mieszkańców,Fleksitariańska
2022-04-05 16:31:44,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Tak,Kilka razy w tygodniu,Raz w tygodniu,Kilka razy w tygodniu,Raz w tygodniu,"Są łatwo dostępne, Są pożywne, Są zdrowe, mają dużo witamin, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Tak,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety), Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska), Chęć wypróbowania nowych przepisów","Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Roślinne zamienniki jajek, Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Kilka razy w tygodniu,"Przystępna cena, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Łatwość przygotowania, Ogólna pozytywna opinia na temat tego produktu wśród znajomych, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt, Dostępność informacji odnośnie wykorzystania takich produktów w przepisach kulinarnych, Ciekawa nazwa produktu","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Raczej tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Dania roślinne są sycące i odżywcze, Są za drogie, Są zdrowe i odżywcze",Kobieta,18-25,Średnie,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Fleksitariańska
2022-04-05 16:31:52,NIe wiem,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",5,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",3,Nie,Raz w tygodniu,Raz w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Są ważnym elementem naszej kuchni regionalnej, Są pożywne",Nie,Jest mi to obojętne/Trudno powiedzieć,,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Roślinne zamienniki jajek, Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Raz na dwa tygodnie,"Przystępna cena, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Łatwość przygotowania","Tak, dużo łatwiej",Tak,Trudno powiedzieć,Raczej tak,"Jest to dieta trudna w utrzymaniu i przygotowaniu, Nie można się tym najeść",Kobieta,18-25,Średnie,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-05 16:32:14,Tak,"Kupuję produkty przyjazne środowisku, nawet jeśli mają wyższą cenę, ponieważ uważam, że są bezpieczniejsze i zdrowsze niż produkty konwencjonalne, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam)",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Tak,Kilka razy w tygodniu,Kilka razy w tygodniu,Codziennie,Raz w tygodniu,"Lubię ich smak i konsystencję, Są tanie, Są ważnym elementem naszej kuchni regionalnej",Tak,"Tak, chciał_bym w przyszłości spożywać wyłącznie posiłki roślinne","Zalecenie lekarskie (np. alergie i nietolerancje pokarmowe lub choroby), Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Chęć wypróbowania nowych przepisów","Kabanosy i parówki roślinne, Masło roślinne, Roślinne zamienniki jajek",Codziennie,"Wartość odżywcza, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt",Trudniej,Nie,Raczej tak,Trudno powiedzieć,"To chwilowa moda, Dania roślinne są sycące i odżywcze, Są w akceptowalnej cenie",Kobieta,18-25,Średnie,uczę się/studiuję,wieś,Tradycyjna
2022-04-05 16:33:57,Tak,"Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam)",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",4,Nie,Kilka razy w tygodniu,Raz na 2 tygodnie,Kilka razy w tygodniu,"Sporadycznie, gdy nie mam dostępu do produktów roslinnych","Są pożywne, Są zdrowe, mają dużo witamin",Nie,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety), Chęć wypróbowania nowych przepisów","Tofu, Kotlety sojowe lub granulat sojowy, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu",Kilka razy w tygodniu,"Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Wysoka zawartość wapnia i innych witamin oraz minerałów, Ogólna pozytywna opinia na temat tego produktu wśród znajomych, Posiadanie certyfikatu potwierdzającego w pełni roślinny skład produktu, Atrakcyjny wygląd opakowania","Tak, dużo łatwiej",Nie,Trudno powiedzieć,Raczej tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Jest to dieta trudna w utrzymaniu i przygotowaniu, Są w akceptowalnej cenie, Są zdrowe i odżywcze",Mężczyzna,18-25,Średnie,uczę się/studiuję,miasto do 100 tys. mieszkańców,Tradycyjna
2022-04-05 16:36:55,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Tak,Kilka razy w tygodniu,Raz w tygodniu,Codziennie,Codziennie,"Lubię ich smak i konsystencję, Są łatwo dostępne, Są pożywne, Są zdrowe, mają dużo witamin, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Tak,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety), Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska)","Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Codziennie,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Wysoka zawartość wapnia i innych witamin oraz minerałów, Łatwość przygotowania, Posiadanie certyfikatu potwierdzającego w pełni roślinny skład produktu, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Raczej tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, Łatwo jest przygotowywać dania w pełni roślinne, Dania roślinne są sycące i odżywcze, Są za drogie",Kobieta,Poniżej 18,Średnie,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Fleksitariańska
2022-04-05 16:37:03,Nie,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam)",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",4,Nie,Codziennie,Codziennie,Codziennie,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są ważnym elementem naszej kuchni regionalnej, Są pożywne",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Roślinne zamienniki jajek, Wegańskie białko w proszku (suplement)",Codziennie,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału","Tak, dużo łatwiej",Tak,Raczej tak,Raczej nie,"Są niesmaczne, posiłki wegańskie są bez smaku, To trend, który zostanie na dłużej, Są za drogie",Mężczyzna,18-25,Średnie,uczę się/studiuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-05 16:37:30,Tak,"Kupuję produkty przyjazne środowisku, nawet jeśli mają wyższą cenę, ponieważ uważam, że są bezpieczniejsze i zdrowsze niż produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",3,Tak,Raz w tygodniu,Kilka razy w tygodniu,Raz w tygodniu,Kilka razy w tygodniu,"Są pożywne, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Tak,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska)","Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu",Raz w tygodniu,"Przystępna cena, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Wysoka zawartość wapnia i innych witamin oraz minerałów, Łatwość przygotowania, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Zdecydowanie tak,"Jest to dieta trudna w utrzymaniu i przygotowaniu, Nie można się tym najeść, Są za drogie",Kobieta,18-25,Średnie,studiuję i pracuję,wieś,Tradycyjna
